PPFS Benchmark Report
Generated at: 2026-03-26T13:56:18

Timing Summary
Dataset    | Spearman Preprocess (s) | Enc Spearman Compute (s) | MI Preprocess (s) | Enc MI Compute (s)
-----------+-------------------------+--------------------------+-------------------+-------------------
parkinsons | 367.024                 | 19.198                   | 1695.621          | 148.121           

=== Dataset: parkinsons ===
Dataset: parkinsons
Parties: 6
Threshold: 2
Rows: 195
Columns: 23
Target Column: status

Target Feature (Spearman): RPDE
Feature                  Plain                 Encrypted
MDVP:Fo(Hz)              -0.3837284730390042   -0.38372847303900437
MDVP:Fhi(Hz)             -0.13555772137514574  -0.13555772137514568
MDVP:Flo(Hz)             -0.35140444141273675  -0.35140444141273675
MDVP:Jitter(%)           0.45875331619121484   0.45875331619121495
MDVP:Jitter(Abs)         0.5278002257091394    0.5278002257091394
MDVP:RAP                 0.37236789870118847   0.37236789870118847
MDVP:PPQ                 0.4338373529129036    0.4338373529129035
Jitter:DDP               0.37236789870118847   0.37236789870118847
MDVP:Shimmer             0.5046431432822639    0.5046431432822638
MDVP:Shimmer(dB)         0.5267856947414953    0.5267856947414954
Shimmer:APQ3             0.5068832094960872    0.5068832094960872
Shimmer:APQ5             0.5195124657854184    0.5195124657854185
MDVP:APQ                 0.5802944233278837    0.5802944233278837
Shimmer:DDA              0.5068832094960872    0.5068832094960872
NHR                      0.5288410927730521    0.5288410927730522
HNR                      -0.6020322766132726   -0.6020322766132726
DFA                      -0.12503851345736766  -0.12503851345736777
spread1                  0.6106185960403697    0.6106185960403696
spread2                  0.47061480974755066   0.47061480974755043
D2                       0.18546819058160804   0.185468190581608
PPE                      0.581044828663937     0.5810448286639368

Mutual Information (target=status)
Feature                  Plain                 Encrypted
MDVP:Fo(Hz)              0.3074427291892028    0.3074427291892028
MDVP:Fhi(Hz)             0.11475031086863761   0.11475031086863761
MDVP:Flo(Hz)             0.25778360485409413   0.25778360485409413
MDVP:Jitter(%)           0.09528447359890936   0.09528447359890936
MDVP:Jitter(Abs)         0.20176001800116664   0.20176001800116664
MDVP:RAP                 0.08502253107655688   0.08502253107655688
MDVP:PPQ                 0.13630039762605445   0.13630039762605445
Jitter:DDP               0.08502253107655688   0.08502253107655688
MDVP:Shimmer             0.16747197869634853   0.16747197869634853
MDVP:Shimmer(dB)         0.1715160786978659    0.1715160786978659
Shimmer:APQ3             0.17318278216774344   0.17318278216774344
Shimmer:APQ5             0.17787998435151392   0.17787998435151392
MDVP:APQ                 0.2310580300573306    0.2310580300573306
Shimmer:DDA              0.17318278216774344   0.17318278216774344
NHR                      0.10955837624775619   0.10955837624775619
HNR                      0.18053699536079673   0.18053699536079673
RPDE                     0.08923317125744572   0.08923317125744572
DFA                      0.12397679712003669   0.12397679712003669
spread1                  0.3280911388375426    0.3280911388375426
spread2                  0.19893227804963437   0.19893227804963437
D2                       0.10899826387487517   0.10899826387487517
PPE                      0.2993991836737346    0.2993991836737346
