PPFS Benchmark Report
Generated at: 2026-03-26T18:10:26

Timing Summary
Dataset | Spearman Preprocess (s) | Enc Spearman Compute (s) | MI Preprocess (s) | Enc MI Compute (s)
--------+-------------------------+--------------------------+-------------------+-------------------
wdbc    | 3400.000                | 37.649                   | 8946.914          | 291.264           

=== Dataset: wdbc ===
Dataset: wdbc
Parties: 8
Threshold: 2
Rows: 569
Columns: 31
Target Column: Diagnosis

Target Feature (Spearman): Texture_Mean
Feature                  Plain                 Encrypted
Radius_Mean              0.3411631699004129    0.34116316990041273
Perimeter_Mean           0.3420629936304993    0.3420629936304993
Area_Mean                0.34362211851223123   0.34362211851223146
Smoothness_Mean          0.039859421332696286  0.039859421332697174
Compactness_Mean         0.2701412896584523    0.27014128965845263
Concavity_Mean           0.3449935768420241    0.344993576842024
Concave_Points_Mean      0.3220162999273066    0.3220162999273062
Symmetry_Mean            0.14662524936061624   0.1466252493606162
Fractal_Dimension_Mean   -0.046901927682331444 -0.04690192768233136
Radius_SE                0.35575635245241183   0.3557563524524118
Texture_SE               0.43455382410658383   0.4345538241065841
Perimeter_SE             0.3860305663156204    0.3860305663156209
Area_SE                  0.39120412670526267   0.3912041267052627
Smoothness_SE            0.05101395205588064   0.05101395205588058
Compactness_SE           0.24977380264827798   0.24977380264827834
Concavity_SE             0.27718862298177027   0.2771886229817702
Concave_Points_SE        0.23276252304030798   0.23276252304030795
Symmetry_SE              0.01845410541123197   0.018454105411231905
Fractal_Dimension_SE     0.15889964706071336   0.15889964706071358
Radius_Worst             0.36456576677179675   0.36456576677179625
Texture_Worst            0.8910808670357941    0.8910808670357938
Perimeter_Worst          0.3618573747888542    0.3618573747888541
Area_Worst               0.38147833581196355   0.38147833581196355
Smoothness_Worst         0.10857534880235634   0.10857534880235634
Compactness_Worst        0.3022974293370927    0.30229742933709264
Concavity_Worst          0.34682601296703647   0.3468260129670366
Concave_Points_Worst     0.32098334077712914   0.3209833407771289
Symmetry_Worst           0.12519282195026143   0.1251928219502612
Fractal_Dimension_Worst  0.12618071231593248   0.12618071231593253

Mutual Information (target=Diagnosis)
Feature                  Plain                 Encrypted
Radius_Mean              0.5263814197713518    0.5263814197713518
Texture_Mean             0.1871467629240357    0.1871467629240357
Perimeter_Mean           0.5597517566486361    0.5597517566486361
Area_Mean                0.49849868642906353   0.49849868642906353
Smoothness_Mean          0.13136434011018683   0.13136434011018683
Compactness_Mean         0.30574399904768845   0.30574399904768845
Concavity_Mean           0.4982347415566122    0.4982347415566122
Concave_Points_Mean      0.6079131428270892    0.6079131428270892
Symmetry_Mean            0.08945517839937196   0.08945517839937196
Fractal_Dimension_Mean   0.028987029236640913  0.028987029236640913
Radius_SE                0.325304278380482     0.325304278380482
Texture_SE               0.0135515464647853    0.0135515464647853
Perimeter_SE             0.3437498495827889    0.3437498495827889
Area_SE                  0.4887594184096967    0.4887594184096967
Smoothness_SE            0.03273274028757023   0.03273274028757023
Compactness_SE           0.11963898554326763   0.11963898554326763
Concavity_SE             0.18757552407079725   0.18757552407079725
Concave_Points_SE        0.1958357986180001    0.1958357986180001
Symmetry_SE              0.04537832910360748   0.04537832910360748
Fractal_Dimension_SE     0.05275221244345233   0.05275221244345233
Radius_Worst             0.6241110719397203    0.6241110719397203
Texture_Worst            0.19410492688205366   0.19410492688205366
Perimeter_Worst          0.6444007248219541    0.6444007248219541
Area_Worst               0.6276673728677269    0.6276673728677269
Smoothness_Worst         0.14027737160647388   0.14027737160647388
Compactness_Worst        0.3143428071419029    0.3143428071419029
Concavity_Worst          0.47493228812428845   0.47493228812428845
Concave_Points_Worst     0.6406825029572004    0.6406825029572004
Symmetry_Worst           0.14016604793119067   0.14016604793119067
Fractal_Dimension_Worst  0.0932967365749147    0.0932967365749147
